"FullName","Length"
"C:\Program Files (x86)\Steam\steamapps\common\PUBG\TslGame\Content\Paks\pakchunk5100-WindowsNoEditor_map_base.pak","221230660"
"C:\Program Files (x86)\Steam\steamapps\common\Fallout 4\Data\Video\Endgame_MALE_A.bk2","221373680"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\ca_dropoff.map","221577216"
"C:\Program Files (x86)\Steam\steamapps\common\Tomb Raider\movies\Sc3Snippets.bik","221762860"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\MCC\Content\Movies\NOBLE.bk2","221815144"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\bink\041_librarian_story_60.bik","221892868"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\MCC\Content\Movies\RAVEN.bk2","221924932"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\MCC\Content\Movies\ELITE.bk2","221931508"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\MCC\Content\Movies\MYTHIC.bk2","222043440"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock Remastered\ContentBaked\pc\Maps\1-Welcome.bsm","222066544"
"C:\Program Files (x86)\Steam\steamapps\common\Borderlands 2\DLC\Orchid\Compat\Textures\Textures_orchid.tfc","222804217"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\ca_creeper.map","224059392"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\zd_02_grind.map","224092160"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\haloreach\maps\50_panopticon.map","224161792"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo1\terminals\the_maw.bk2","224712936"
"C:\Program Files (x86)\Steam\steamapps\common\Halo Infinite\deploy\pc\globals\multiplayer_r3-rtx-new.module_hd1","224931840"
"C:\Program Files (x86)\Steam\steamapps\common\Ocean's Heart\data.solarus","225226998"
"C:\Program Files (x86)\Steam\steamapps\common\GodOfWar\exec\wad\pc_le\050_alfheim_020.lodpack","225644728"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\MCC\Content\Movies\HCEVignette.bk2","225884136"
"C:\Program Files (x86)\Steam\steamapps\common\PUBG\TslGame\Content\Paks\pakchunk5900-WindowsNoEditor_grid.pak","225965290"
"C:\Program Files (x86)\Steam\steamapps\common\Grand Theft Auto V\x64\audio\sfx\RADIO_NEWS.rpf","226027520"
"C:\Program Files (x86)\Steam\steamapps\common\Grand Theft Auto V\update\x64\dlcpacks\mpluxe\dlc.rpf","226260992"
"C:\Program Files (x86)\Steam\steamapps\common\the witcher 2\CookedPC\movies\mean_m_w_roche.usm","226633120"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo2\h2_maps_win64_dx11\sounds_it.dat","227109120"
"C:\Program Files (x86)\Steam\steamapps\common\Halo Infinite\subgames\CampaignS1\Sound\win\SFX\sb_120_mus_dung_forerunner_houston.pck","227146354"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock Remastered\ContentBaked\pc\Maps\Autoplay.bsm","227238084"
"C:\Program Files (x86)\Steam\steamapps\common\Grand Theft Auto V\x64\audio\sfx\RADIO_15_MOTOWN.rpf","227459072"
"C:\Program Files (x86)\Steam\steamapps\common\Halo Infinite\deploy\pc\compositions\narrative\mp\mp_02\mp_02-rtx-new.module","227467264"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock Remastered\ContentBaked\pc\BinkMovies\DC_5-Ryan.bik","227649716"
"C:\Program Files (x86)\Steam\steamapps\common\Halo Infinite\deploy\pc\levels\multi\ctf_aquarius\ctf_aquarius-rtx-new.module","227811328"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\ca_spiderweb.map","228397056"
"C:\Program Files (x86)\Steam\steamapps\common\Halo Infinite\deploy\pc\levels\multi\btb_fragmentation\btb_fragmentation-rtx-new.module","228454400"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\ca_canyon.map","228491264"
"C:\Program Files (x86)\Google\Chrome\Application\119.0.6045.160\chrome.dll","228675360"
"C:\Program Files (x86)\Steam\steamapps\common\SpongeBob SquarePants Battle for Bikini Bottom - Rehydrated\Pineapple\Content\Paks\pakchunk1-WindowsNoEditor.pak","228845593"
"C:\Program Files (x86)\Steam\steamapps\common\Splitgate\PortalWars\Content\Paks\pakchunk64_s1-WindowsNoEditor.ucas","229293552"
"C:\Program Files (x86)\Steam\steamapps\common\The Witcher Enhanced Edition\The Witcher\wiedzminkolaj.adv","229323033"
"C:\Program Files (x86)\Steam\steamapps\common\Splitgate\PortalWars\Content\Paks\pakchunk62_s3-WindowsNoEditor.ucas","229578880"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock Remastered\ContentBaked\pc\BinkMovies\DC_4-Recreation.bik","229593036"
"C:\Program Files (x86)\Steam\steamapps\common\Batman Arkham Knight\DLC\401624\Content\BmGame\CookedPCConsole\SFX\SFX_DLC_ChallengePack3.wad","229634048"
"C:\Program Files (x86)\Steam\steamapps\common\Death's Door\DeathsDoor_Data\sharedassets1.assets.resS","229849004"
"C:\Program Files (x86)\Steam\steamapps\common\Batman Arkham Knight\BmGame\Movies\TV_Azrael_BrainWashIntro.usm","230143744"
"C:\Program Files (x86)\Steam\steamapps\common\Batman Arkham Knight\DLC\401634\Content\BmGame\CookedPCConsole\SFX\SFX_DLC_BmobSnyder.wad","231059456"
"C:\Program Files (x86)\Steam\steamapps\common\Batman Arkham Knight\DLC\401621\Content\BmGame\CookedPCConsole\SFX\SFX_DLC_BmobBurton.wad","231251968"
"C:\Users\joshu\OneDrive - University of Cincinnati\UC Class Folders\Fall 2021 Semester\IT1051-Fund of Digital Media\AcrobatDeepDive.mp4","231268283"
